name,location,url,description
Freedom Dogs,"San Diego, CA",http://www.freedomdogs.org/,"Freedom Dogs offers custom-trained specialty service dogs to wounded members of the military returning from armed conflict. It is reported that 40% of all returning troops suffer from PTSD. Many of these returning men and women are so mentally, physically or spiritually broken that they have little hope of returning to mainstream life. Our unique Partner Program pairs a specialty service dog/trainer team with these heroes on a short-term, intermittent basis as an adjunct to their rehabilitation. These teams help reintegrate these young men & women back into society and normal activities of daily living. Additionally, we offer custom trained specialty service dogs for permanent placement with these deserving warriors."
Freedom Service Dogs of America,Nationwide,http://www.freedomservicedogs.org/index.php?option=com_content&view=frontpage&Itemid=1,"Our mission is to acquire and train dogs that have the potential to successfully undergo and complete the rigorous seven to ten month training that allows them to assist people with disabilities, thus increasing their independence and peace of mind. We focus our efforts on donating these wonderful animals to disabled military veterans to help restore some normalcy to their difficult lives. Virtually all Freedom Service Dogs are rescued themselves from shelters. Those that do not fulfill all the comprehensive training requirements are found adoptive homes."
Gabby Jack Ranch (Homefront Dogs),"Carmichael, CA",http://gabbyjackranch.org/homefront-dogs/,"The Homefront Dogs Program is intended to place companion dogs with eligible veterans as they reintegrate into civilian life. Ultimately, we hope that by placing a puppy with newly returning veterans, the puppy will help the veteran to adjust to civilian life without becoming affected by PTSD (Post Traumatic Stress Disorder). Those who are diagnosed with PTSD after a dog has been placed with them will continue to be eligible for Gabby Jack Ranch training through to full Service Dog certification. This program provides Basic and Advanced Service Dog Training [FREE OF CHARGE, subject to available funding] to U.S. veterans who have been home for less than one year. This program is designed to help returning veterans reintegrate into civilian life. The service dog placement and training program is available to any U.S. veteran who has been diagnosed with PTSD, no matter how long the veteran has been home."
G.I. DOGS,Nevada,https://www.facebook.com/GIDOGS,"G.I. DOGS, Serving Those Who Served is a Nevada Humane Society program dedicated to transforming abandoned animals into service dogs and companion pets for Nevada's military veterans."
"Guardian Angels Medical Service Dogs, Inc.","Williston, FL",http://www.medicalservicedogs.com/,"There are over 52 million people or approximately 20% of our population in the United States that are mentally and/or physically handicapped and those numbers continue to grow significantly each year. It is estimated that with the Iraq and Afghanistan wars that there is an additional 25% to 30% increase in PTSD (Post Traumatic Stress Disorder). There are over 11 million people who require assistance with one or more daily activities such as walking, picking up dropped items, answering the phone, etc. Roughly 12 million others require a wheelchair or some other ambulatory equipment such as a cane, walker or crutches. The assistance these disabled people require not only strips them of their individual freedoms and quality of life, but also, often creates an enormous burden on the caregivers and community. It is our goal, that by combining our business skills and specialized training abilities that we can bring dignity and independence to many of these disabled people through the use of our specially trained service dogs. For that purpose, Guardian Angels Medical Service Dogs, Inc. was founded in north central Florida. Though the southern United States has the highest numbers of disabled people, we are improving the lives of special needs individuals everywhere and have paired dog teams from Florida to California."
Gunnar Center (Valiant Veterans),"Worcester, MA",http://valiantveterans.org/service-dogs/,The Gunnar Center will assist veterans in self training their own service dogs at the LiveLife Center with the collaboration of local trainers. The ADA (Americans with Disabilities Act) recognizes owner trained dogs as ‘legitimate’ service dogs and we will walk each veteran through the process of passing various certification tests with their dog.
Hawaii Fi-do Service Dogs,Hawaii,http://www.hawaiifido.org/,"Hawaii Fi-Do is dedicated to be part of the healing process of our retuning US servicemen and woman suffering from PTSD and other war related injuries. These injured veterans not only bear the physical wounds but also the mental scars of battle while in Iraq or Afghanistan. The psychological wounds are just as devastating to service members and their families as physical wounds. Our dogs can alert, distract or respond to situation and act as the focal point as a coping strategy to ride out the symptoms in addition to offering therapeutic benefits both mentally and physically. "
Healing 4 Heroes,"Peachtree, GA and Lafayette, LA",http://www.healing4heroes.org/,"Healing4Heroes has dual purposes in that it serves the community by helping military personnel and veterans as well as local animal shelters by rescuing suitable dogs. Our military personnel and veterans move forward, living more productive lives after being wounded both physically and/or mentally with the assistance of service animals. The lives of unwanted shelter dogs are saved by becoming trained service companions. Service dogs are free of charge to the veteran."
Healing Paws For Warriors,Florida,http://www.healingpawsforwarriors.org/,"A veteran founded / veteran led, 501(c)(3), Healing Paws for Warriors is dedicated to providing Post-9/11 combat veterans suffering from Post-Traumatic Stress Disorder (PTSD), Traumatic Brain Injury (TBI), and Military Sexual Trauma (MST) a rescue-to-trained ADA-certified service dogs at ""no cost"" to the veteran with continued support after completing the program."
Hero Dogs,Maryland,http://hero-dogs.org/,"Hero Dogs, Inc., a Maryland 501(c)(3) non-profit corporation, improves quality of life for our nation’s heroes by raising, training, and placing service dogs and other highly skilled canines, free of charge with lifetime support of the partnerships."
High Plains Service Dogs and Therapeutic Riding Center,"Purcell, OK",http://www.hpsdtrc.org/,"Started as a dream given by God, High Plains Service Dogs and Therapeutic Riding Center is a non profit organization established to provide highly trained service dogs to those with various disabilities. We will also provide therapeutic riding program to children and adults with disabilities. We will also have a program for at risk youth to voluntarily work with the animals and participants to gain life experience and self esteem. The dogs we use are rescued from local shelters and rescues. We save their life, allowing that organization to help another dog, and in return the dog once trained can save another life by giving back to their recipient and their family by giving independence. Help save at least two lives in one package deal. We rescue dogs from local shelters to be service dogs for individuals with disabilities. We train dogs for Diabetes, Autism, Parkinson's, MS, MD (Other mobility needs), PTSD, sight impaired, hearing impaired and many more."
K9 Camo Companions,Western Michigan,https://k9camocompanions.com/,"Our veterans make sacrifices every day, many that do not end with their time in the service. As a way of thanking veterans and their families for their service, we have found a valuable connection with companion animals that provides peace and comfort. Our team of volunteers is dedicated to finding the most appropriate match by resourcing many rescue organizations in the west Michigan Area. Once a Veteran K9 connection has occurred, we offer six week Canine Good Citizen classes and certification."
K9s Navigators,"Upper Marlboro, MD ",http://www.k9navigators.com/,Our mission is to provide assistance dogs to active duty and retired military personnel who have been injured or experienced trauma while serving in the current conflicts.
"K9s for Veterans, NFP",None,http://k9forveteranwarriors.org/index.html,"K9s for Veterans, NFP is dedicated to helping veterans suffering from Post Traumatic Stress Disorder (PTSD) by providing them with service dogs. We’re honored to help the men and women who so bravely served our country with dogs that dramatically improve their quality of life. While there are many service dog organizations, K9s for Veterans is proud to say that we offer some unique benefits to veterans.   EXPEDITED PLACEMENT – The average length of time to find a match and place a properly trained service dog is 6-9 months for K9s for Veterans. Unfortunately, it can take years with some other organizations. FREE FOOD AND BASIC MEDICAL CARE – As you know, many of our veterans struggle financially when returning to civilian life, so adding the expense of a dog can be challenging.  K9s for Veterans, stands by our veterans for the life of their service dog with free food and basic medical care. All of this is made possible thanks to our dedicated team of volunteers, the generosity of our amazing donors and people like you who refuse to let our veterans be forgotten. Our mission is to place service dogs to help veterans cope with PTSD so they can live happy and productive lives after their military career ends.  "
K9s for Warriors,"Palm Valley, FL",http://www.k9sforwarriors.org/,"The K9s For Warriors program is a unique, three week, in house program for Post 9/11 active duty troops and veterans who are diagnosed with PTSD or TBIs. Warriors live together, train together, eat together and recover together. Additionally, 95% of our service dogs are former shelter dogs. Give a new leash on life to rescue dogs and military heroes."
K9s on the Front Line,"Portland, ME and Jefferson City, MO",https://k9sonthefrontline.org/,"K9s on The Front Line is a Maine-based nonprofit organization providing certified, trained service dogs to military veterans who are affected by PTSD and/or TBI, at no cost to our veterans."
K9 Warriors Inc,"Galloway, NJ",http://k9warriorsinc.org/,"K9 Warriors Inc. mission is to provide the most elite ​service dogs for veterans living with PTSD & TBI at no cost to them. Definition: Elite service dogs are individually trained to perform a minimum of eight to ten tasks, Search & Rescue (SAR) or a sport that mitigates and assist the disabled veteran encouraging an active lifestyle. "
Last Chance Arkansas (Paws 4 Hope),"Little Rock, AR",https://www.facebook.com/paws4hopelca/,"Paws 4 Hope LCA is a non-profit organization which rescues exceptional dogs and trains them to help people with exceptional needs. As a sub-division of Last Chance for Arkansas Animals, our mission is to support LCA. Rescuing dogs is core to what we do. These amazing animals are given a second chance at life and most often they will go on to graduate as a fully certified Service Dog. Realizing the outstanding potential of some dogs in rescue facilities, Paws 4 Hope LCA works with the Arkansas Department of Correction’s Paws In Prison (PIP) program to place rescue dogs with inmate trainers and teach them how to train the dogs as service/assistance dogs, educational assistance dogs or therapy dogs for various types of facilities as well as skilled family pets."
Merlin's KIDS,"Midland Park, NJ",http://www.merlinskids.org/,"We rescue, rehabilitate, and train shelter dogs into service dogs for children with autism and other special needs, PTSD and mobility for veterans, and disease detection dogs for firefighters and first responders. Each dog is trained specifically for the needs of the individual. Our dogs are trained on: Mobility Assistance: paralysis, spinal cord injuries, cerebral palsy, muscular dystrophy, hypotonia, and more! Health Alerts: Seizures, hypoglycemia, diabetes, and more! Cortisol Detection: PTSD, ASD, and more! Cancer Detection: local and systemic, real time and samples."
NEADS Assistance Dogs (Canines for Combat Veterans),"Princeton, MA",http://neads.org/assistance-dogs/canines-combat-veterans,NEADS… Has placed over 1300 assistance dog teams since 1976 Is accredited by Assistance Dogs International Is endorsed by therapeutic professionals Serves numerous repeat and long-term clients Matches each client with a custom-trained dog Begins each dog’s training at 8 weeks old and continues through adulthood
New Horizons Service Dogs,Florida,http://www.newhorizonsservicedogs.org/,"New Horizons Service Dogs, Inc. (NHSDI) fosters relationships between service dogs and disabled Florida veterans for a lifetime of unconditional love, mobility, and independence.  NHSDI has served over 200 clients in the state of Florida, several of whom were veterans with disabilities such as post-traumatic stress disorder, traumatic brain injuries, and a multitude of severe orthopedic conditions."
Next Step Service Dogs,"San Diego, CA",http://www.nextstepservicedogs.org/,"Our mission as a nonprofit 501(c)3 organization is to empower positive change for veterans with invisible disabilities such as Post-Traumatic Stress Disorder (PTSD) and Traumatic Brain Injury (TBI) through the use of expertly-trained service dogs. Our service dogs greatly improve the veterans’ quality of life, independence, and the sense of being unconditionally loved, respected and protected by a service dog battle companion. Next Step Service Dogs are often rescue dogs trained to perform specific tasks and worked as described by the American Disabilities Act (ADA). Standard service dog tasks include getting help, turning on lights, balance support, and retrieval, to name a few. Next Step Service Dogs are psychiatric service dogs with tasks that include helping a veteran gauge the safety of their surroundings, allowing them to venture into public places without constantly scanning for snipers, hidden bombs and other dangers; reassuring them, allowing them to learn trust and caring again – and maybe smile for the first time in months or years. We have plans to create Next Step Training Chapters throughout the country. We hire veterans as trainers to further enhance the bonds and effectiveness of our trainer-dog-veteran teams."
Northwest Battle Buddies,"Battle Ground, WA",http://www.northwestbattlebuddies.org/,Our mission: empowering combat veterans with PTSD to regain their freedom and independence by partnering them with professionally trained and specifically matched service dog specifically matched service dogs at no charge - to serve those who have served us all.
Operation Delta Dog,"Chelmsford, MA",http://www.operationdeltadog.org/,"Operation Delta Dog is a nonprofit organization with a mission to rescue homeless dogs and train them to work as service dogs for veterans who are suffering from Traumatic Brain Injury (TBI), Post-Traumatic Stress Disorder (PTSD), and other challenges."
Operation Dog Tag,Washington,https://www.facebook.com/OperationDogTag,"Operation Dog Tag trains dogs for veterans returning from combat dealing with PTSD and TBI. Operation Dog Tag is a Spokane based non-profit organization under Pointman International Ministries. We are dedicated to all of our men and women who served in combat and their families who love them. We teach and instruct these veterans to train qualified service dogs for other combat veterans to meet their critical needs, whether for assistance with post traumatic stress or crutches, canes, walkers and wheel chaired. We are very determined to help veterans and their families begin living their lives again, as we “Make Man’s Best Friend Even Better For A Veteran.” All the dogs that are trained through Operation Dog Tag either come from the Spokane Humane Society or are dogs already owned by the veteran. There is no cost to the veteran who is receiving a dog!!"
Operation Freedom Paws,"Gilroy, CA",http://www.operationfreedomspaws.org/,"Operation Freedoms Paws works to empower veterans and others with disabilities to live a quality life. We do that by teaching them the skills to train their own service dog, capitalizing on the ability of the canine human relationship to help them regain their purpose, worth and value to society and their community. We train the individual to train their own dog, and then certify them together as a Service dog team."
Operation K9,"Spring Branch, TX",http://www.operationk9.org,"Operation K9 is dedicated to training service dogs for our wounded military veterans with Post Traumatic Stress Disorder, Traumatic Brain Injury or have physical injury(s), sustained in combat, that warrant the need for a service dog. Operation K9 is a non-profit organization which launched in early 2012 and was officially designated a 501(c)(3) organization in September 2012. All of our staff are volunteers and all donations go directly to the mission of training service dogs. Joan Moss, one of the founders of Operation K9, brings over 40 years of dog training experience in both environments, civilian and law enforcement. Each dog has a comprehensive training program to meet the individual needs of the selected veteran. Operation K9 adheres to the ADI training standards and is actively working towards accreditation."
Operation Overwatch,"Bandera, TX",http://www.operationoverwatch.org/,"Operation Overwatch is a nonprofit service dog training program started by Marine veteran Brice Cavanaugh. With a team of skilled trainers and therapists, Operation Overwatch offers a service dog training and treatment program for veterans and first responders suffering from Post Traumatic Stress Disorder and/or Traumatic Brain Injury as well as mitigating the effects of impaired mobility. We believe in healing at both ends of the leash. We rescue dogs from shelters across the United States and train them to become skilled service dogs for veterans and first responders that we refer to as the “Warrior Class”."
Operation Wolfhound,None,https://www.facebook.com/OperationWolfhound4vets?fref=ts,Our mission at Operation Wolfhound is to provide Armed Forces veterans with dogs that will serve as companions and help them adjust to civilian life.
PAALS Palmetto Animal Assisted Life Services,"Columbia, SC",https://www.paals.org/vip-dog/,"PAALS places service dogs with soldiers and veterans with combat-related injuries, whether they aid with the mental, physical, or combination of disabilities."
Painted Paws for Veterans,"Canon City, CO",http://paintedpawsforveterans.org/,"Painted Paws for Veterans is dedicated to assisting veterans and their families in adopting canine companions from animal shelters and rescues, in order to provide emotional support and a way to reconnect to life and family, both during and after military service. In addition to our adoption assistance program, we also offer service dog training, therapy visits, veteran retreats and public education on PTSD and other veteran emotional issues. Browse our site for more information about our programs, and the benefits of owning or spending time with a canine companion. For those veterans whose living conditions prevent them from adopting a dog, we plan to offer weekend retreats on a five acre ranch in Cotopaxi, Colorado. There, the veteran will be able to spend time with a canine companion in a calm, quiet environment. "
Patriotic Service Dog Foundation,"Orange, CA",http://www.patrioticservicedogfoundation.org/,Patriotic Service Dog Foundation is a non-profit organization focused on serving our veterans by raising awareness for their needs and providing service dogs to those who may benefit from long-term mental and physical assistance.
Patriot Paws Service Dogs,"Rockwall, TX",http://www.patriotpaws.org/,"Patriot PAWS trains and provides service dogs for the benefit of disabled American veterans in order to help restore their physical and emotional independence, and to provide a service for other American’s with mobile disabilities."
Patriot Rovers,"High Point, NC",http://www.patriotrovers.org/,"The mission of Patriot Rovers is to provide professionally trained and certified Psychiatric Service Dogs, instruction, and therapeutic group comraderie to Veteran men and women struggling with Post Traumatic Stress Disorder and Traumatic Brain Injury as a result of their service to our country and restore their physical and emotional independence. "
Patriot Service Dogs,"Jacksonville, FL",http://www.patriotservicedogs.org/,"Patriot Service Dogs, Inc is a 501(c)(3) organization dedicated to helping our disabled military community gain a sense of independence through their partnership with a well trained service dog.  PawPADS (Pawsitive Perspectives Assistance Dogs) Savage, MN www.pawpads.org Pawsitive Perspectives Assistance Dogs (PawPADs) is a non-profit organization headquartered in Savage, Minnesota that provides highly trained assistance dogs to persons with disabilities."
Paws & Effect,"Des Moines, IA",http://www.paws-effect.org/,"Paws & Effect is a non-profit that trains and places psychiatric service, mobility, and therapy dogs with veterans diagnosed with PTSD and others."
Paws and Stripes,"Rio Rancho, NM",http://www.pawsandstripes.org/home.html,"Paws and Stripes™ is a nonprofit organization for wounded veterans of our United States military that works to provide service dogs for Post Traumatic Stress Disorder and Traumatic Brain Injury. The service dogs are obtained only from shelters, and are trained by professionals specializing in service dogs.  It is the aim of this organization to provide these dogs and training for no cost to the veteran."
Paws Assisting Veterans (PAVE),"Cornelius, OR",http://www.paveusa.org/,"PAVE is a nonprofit organization dedicated to training service dogs for veterans with mental and/or physical disabilities and to advance public knowledge of service dogs and the essential roles they play. Our organization is dedicated to improving the lives of veterans suffering from mental and/or physical disabilities through trained service dogs, empowering them and their families to achieve lifelong successes and to pave their way home. "
Paws Assisting Wounded Warriors,"Palos Heights, IL",http://www.pawws.org/,Paws Assisting Wounded Warriors is dedicated to training service dogs for disabled veterans!. We are committed to providing these trained service dogs and all related expenses at no cost to our veterans.
Paws for Patriots TM (Southeastern Guide Dogs),Florida,http://www.guidedogs.org/index.php?page=paws-for-patriots-01,"Southeastern Guide Dogs' Paws for Patriots™ Program provides professionally trained guide dogs, 26 days of residential training and lifetime follow-up services to American veterans - free of charge. The program also provides therapy dogs to individuals and military facilities such as the National Naval Center in Bethesda, Maryland.  "
Paws for Peace (Embrace a Vet),"East Harpswell, ME",http://embraceavet.org/paws-for-peace/,The Paws for Peace program was initiated after recognizing the lack of opportunity for veterans in Maine living with PTS(d) and or TBI to obtain service dogs.  EAV offers assistance with locating dogs and providing various levels of training depending upon the needs of the veteran. Training is done in a group setting with other veterans under the direction of a professional trainer.
Paws for PTSD,"Waco, TX",http://www.paws4ptsd.org/,None
